autor,publicaciones,total_citaciones,cit_promedio,max_citaciones,h_index,g_index
M. A. Voronkov,1,408,408.0,408,1,1
Rui Qiao,1,408,408.0,408,1,1
W. Arcus,1,408,408.0,408,1,1
Tommaso Treu,1,408,408.0,408,1,1
Vardha N. Bennert,1,408,408.0,408,1,1
A. Macleod,1,408,408.0,408,1,1
Rodolfo Inostroza,11,407,37.0,105,8,11
Amy Jones,3,407,135.67,206,3,3
Lorena Jorquera,22,407,18.5,207,8,20
Miguel Pino,2,406,203.0,259,2,2
Felipe Scott,21,406,19.33,65,12,20
Elizabeth K Mahony,3,405,135.0,279,3,3
Pablo Díaz‐Siefer,19,405,21.32,94,10,19
Vinicius Minatogawa,23,404,17.57,73,9,20
Patricio M. Arana,49,401,8.18,37,12,16
Silvio Montalvo,9,400,44.44,260,6,9
E. Curotto,16,397,24.81,169,7,16
Claudia Carrasco Aguilar,40,397,9.93,40,12,18
Carla Fardella,24,397,16.54,63,12,19
Ayan Banerjee,5,394,78.8,154,5,5
Francisco B. Ortega,19,393,20.68,70,12,19
Eva Madrid,5,392,78.4,224,5,5
Álvaro Torres-Aravena,13,392,30.15,109,10,13
Andrea Cortínez-O’Ryan,9,392,43.56,191,7,9
Palma Chillón,33,391,11.85,70,12,19
Marco Correa‐Ramírez,17,391,23.0,76,11,17
Alexa C. Gordon,15,390,26.0,104,9,15
Thierry Roisnel,23,390,16.96,73,13,19
Marcelo Zaiat,6,389,64.83,231,5,6
Salvatore Cannella,13,389,29.92,75,8,13
Wen‐fai Fong,9,389,43.22,185,7,9
M. Sargent,7,389,55.57,216,7,7
Ana Aguilar‐Galvez,25,387,15.48,48,12,19
María del Mar Ortega-Villaizán,25,387,15.48,57,12,19
John F. Cryan,5,387,77.4,256,5,5
Carlos Hurtado,31,387,12.48,68,12,19
Pedro Mondaca,20,386,19.3,49,13,19
Supriya Pan,4,385,96.25,152,4,4
Wenceslao Palma,32,384,12.0,78,11,18
Elías Razo‐Flores,4,383,95.75,231,4,4
Elena Castelló,4,383,95.75,231,4,4
Francesc Gòdia,4,383,95.75,176,3,4
Ana María Vega-Letter,15,381,25.4,135,8,15
Pía Martino-Fuentealba,7,380,54.29,191,6,7
Timothy G. Dinan,4,379,94.75,256,4,4
Daniel C. Hallin,10,379,37.9,107,8,10
Vera Gluscevic,9,379,42.11,125,8,9
Jean-Pierre Macquart,3,378,126.0,279,3,3
Jan Bergmann,43,378,8.79,29,11,16
Jaime Mena-Lorcat,1,377,377.0,377,1,1
Julio Oliva,6,377,62.83,227,6,6
Oscar Romero,28,377,13.46,53,11,19
S. Dormido-Canto,35,377,10.77,44,11,18
Daniel Duclos‐Bastías,64,376,5.78,73,10,16
Valéria C. Santos‐Ebinuma,20,374,18.7,40,12,19
Diana Krüger,13,373,28.69,214,8,13
D. Altbir,8,372,46.5,120,6,8
R. Borja,8,372,46.5,260,6,8
Silvana Becerra,15,370,24.67,176,6,15
Siegmar Otto,8,369,46.12,94,8,8
Soledad Estrella,51,368,7.22,45,11,17
M. Pannella,6,368,61.33,216,6,6
Paula Santana,36,367,10.19,85,11,18
Carlos Huenchuleo,15,367,24.47,214,6,15
Julián Carrillo‐Reyes,3,366,122.0,231,3,3
Elena Navarrete-Astorga,19,365,19.21,77,13,19
Javier Silva,20,365,18.25,96,12,19
Richard Bond,6,364,60.67,140,3,6
Jean P. Lhorente,8,364,45.5,121,8,8
